%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1776135943260099584,0,1776135943260099584,base_link,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0050396382151336,-0.041844268816564,0.001221730476396,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0897308475,0.0023928226,10.0295159279,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135943361497088,1,1776135943361497088,base_link,0.00022468060654260433,-0.002121435127780991,7.015892154814826e-05,0.9999977220520802,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0044287729769356,-0.041844268816564,0.0013744467859455,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0813559683999999,0.011964113,10.0534441539,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135943462475776,2,1776135943462475776,base_link,0.0004332722069578597,-0.004249491547126495,0.00013320472511742497,0.9999908681349479,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0041233403578366,-0.042149701435663,0.001221730476396,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0849452023,0.0167497582,10.0438728635,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135943563440384,3,1776135943563440384,base_link,0.0006729330809291179,-0.006400327824249109,0.00019733806148900004,0.9999792717964209,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0047342055960346,-0.0426078503643115,0.001221730476396,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0837487909999999,0.0179461695,10.0654082669,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135943664302080,4,1776135943664302080,base_link,0.000904903338526386,-0.008548911867934678,0.00026236402153915285,0.9999630135264715,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0045814892864851,-0.0426078503643115,0.001221730476396,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0909272588,0.0215354033999999,10.0534441539,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135943765140224,5,1776135943765140224,base_link,0.001121742049226031,-0.010650738932195584,0.0003358474372169604,0.9999425936829935,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0042760566673861,-0.0416915525070145,0.0013744467859455,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1064806057,0.0047856452,10.064211855599998,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135943865941248,6,1776135943865941248,base_link,0.0013850518364287667,-0.012751667689709601,0.00041848964129194763,0.9999176473435009,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0051923545246831,-0.0416915525070145,0.001527163095495,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1004985492,0.0131605243,10.0546405652,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135943966822400,7,1776135943966822400,base_link,0.001641068694475244,-0.014877294988555752,0.0004945136095735545,0.9998878579339053,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0050396382151336,-0.042149701435663,0.0013744467859455,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0909272588,0.0131605243,10.0606226217,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135944067634432,8,1776135944067634432,base_link,0.0018819263632592843,-0.017016747818732077,0.0005790220562432212,0.9998532659247034,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0047342055960346,-0.042455134054762,0.001527163095495,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0825523797,0.0131605243,10.0630154443,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135944168682752,9,1776135944168682752,base_link,0.002139068812054429,-0.01913794812915643,0.0006649918871415686,0.9998143433217054,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0050396382151336,-0.0419969851261135,0.001527163095495,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0873380249,0.0191425808,10.061819033,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
