field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1776813861.2327569,0.0,0.0,0.0,1.0,0.0039706240482871,-0.0410806872688165,0.0,-0.1854437515,-0.0741775006,10.0989077833
1776813861.3341608,0.00020907740204476576,-0.0021138408479620496,8.184924255896984e-06,0.9999977439457134,0.0041233403578366,-0.0416915525070145,0.0001527163095495,-0.1782652837,-0.0634097989,10.0929257268
1776813861.4351072,0.0004480409121774616,-0.0042489663562084645,9.646537862192534e-06,0.9999908726839406,0.0047342055960346,-0.0423024177452125,0.0,-0.1818545176,-0.071784678,10.0989077833
1776813861.5359795,0.0007020316184563867,-0.006359423149887011,-1.8600737166159466e-05,0.9999795320619417,0.0050396382151336,-0.041844268816564,-0.000610865238198,-0.1806581063,-0.0669990328,10.097711372
1776813861.6368072,0.0009253002319169361,-0.008461187601846575,-7.536673622242593e-06,0.9999637753774112,0.0044287729769356,-0.0416915525070145,0.0001527163095495,-0.1806581063,-0.0646062102,10.0953185494
1776813861.7377553,0.0011244178078270634,-0.010650348970022061,-0.00011899255975088929,0.9999426441512439,0.0039706240482871,-0.043371431912059,-0.0022907446432425,-0.1818545176,-0.0669990328,10.0929257268
1776813861.8387158,0.001324045829991469,-0.012747168602419088,-0.00015261628138194937,0.9999178632785458,0.0039706240482871,-0.041538836197465,-0.0007635815477475,-0.1926222193,-0.0646062102,10.0965149607
1776813861.9395726,0.001508351876726885,-0.01481864160101995,-0.00015482552775798034,0.9998890482272382,0.003665191429188,-0.0410806872688165,-0.0001527163095495,-0.1758724611,-0.0622133875999999,10.0929257268
1776813862.0403707,0.0017158372400444136,-0.016942694333136818,-0.00014039327593372877,0.9998549801351332,0.0041233403578366,-0.042149701435663,0.0001527163095495,-0.1866401628,-0.0741775006,10.1024970172
1776813862.141215,0.001804432451884816,-0.01903716347016133,-0.0003121023871891644,0.9998170997850743,0.001832595714594,-0.041538836197465,-0.0035124751196385,-0.1830509289,-0.0658026215,10.0941221381
1776813862.2421677,-0.0014744544194641416,-0.021548851289297847,-0.0001393884834613169,0.9997666995670176,-0.0650571478680886,-0.0497855169131382,0.0047342055960346,-0.1208375412999999,0.0179461695,10.109675485
1776813862.3430169,-0.013899315388325825,-0.023193040858570668,-0.0004147015652031786,0.9996342930842661,-0.2464841236128992,-0.0326812902435938,0.000305432619099,-0.2380858487,-0.0251246373,10.0917293155
